company,title,duration,route,gamers,price,place
Палитра,Итальянцы в Ленинграде,180,5,1-50,3500,"м. Невский проспект, г. Санкт-Петербург "
Палитра,Петропавловская крепость,90,2,2-30,4900,"м. Горьковская, г. Санкт-Петербург "
Палитра,Фонтаны Петергофа,120,3,1-18,6100 ,г. Петергоф
IQ 365,Шерлок Холмс. Дело о похищенном Кохинуре,240,8,1-3,990,ЦПКиО им. Кирова (Санкт-Петербург)
IQ 365,Шерлок Холмс и Черная книга,90,4,1-3,990,Приморский парк Победы (Санкт-Петербург)
IQ 365,Авантюристы Карибского моря,240,10,1-3,990,ЦПКиО им. Кирова (Санкт-Петербург)
IQ 365,Наследство американского дядюшки,90,3,1-3,990,Приморский парк победы (Санкт-Петербург)
IQ 365,В поисках Улисса,120,3,1-3,990,Петропавловская крепость (Санкт-Петербург)
Quests Team,Город под защитой ангелов,180,8,2-6,1290,"м. Василеостровская, г. Санкт-Петербург "
Quests Team,В поисках Пегасов,120,5,2-6,1290,"м. Василеостровская, г. Санкт-Петербург "
Quests Team,Великолепный Невский,180,8,2-6,1290,"м. Невский проспект, г. Санкт-Петербург "
Quests Team,Вокруг Света,120,5,2-6,1290,"м. Невский проспект, г. Санкт-Петербург "
Ubego,В поисках пегасов,90,,2 - 6,1290,"м. Площадь Восстания, г. Санкт-Петербург"
Ubego,Город под защитой ангелов,150,,2 - 6,1290,"м. Василеостровская, г. Санкт-Петербург"
Ubego,Шерлок Холмс. Дело о похищенном Кохинуре,120,,1 - 3,990,"м. Крестовский остров, г. Санкт-Петербург"
Ubego,Итальянцы в Ленинграде,180,,1 - 50,3500,"м. Гостиный двор, наб. канала Грибоедова, д. 5"
Ubego,Симпсоны идут по следу,90,,1 -10,1200,"м. Чернышевская, ул. Фурштатская, д. 17"
Ubego,Петергоф: мокрое дело,120,,2 - 30,990,г. Санкт-Петербург
Ubego,Таинственный остров,120,,1 - 12,890,г. Санкт-Петербург
Ubego,Побег кота Шредингера,90,,1 - 10,900,"м. Гостиный двор, г. Санкт-Петербург"
Ubego,Эхо блокады в центре Петербурга,210,,1 - 8,1090,"м. Адмиралтейская, пл. Исаакиевская, д. 5"
Ubego,Петербург революционный,120,,1 - 10,1000,"м. Адмиралтейская, пл. Дворцовая, д. 2"
Ubego,Тайный код Петербурга: прогулка по мистическим местам города,90,,1 - 5,1090,"м. Невский проспект, г. Санкт-Петербург"
Ubego,"Операция ""Спасение неизвестного""",120,,1 - 10,900,"ул. Петра Смородина, д. 8"
Ubego,Современный Санкт-Петербург,180,,1 - 8,990,г. Санкт-Петербург
Ubego,Архитектурный облик Петербурга,120,,1 - 8,990,г. Санкт-Петербург
